dataset bialsites_avg bialsites_std sf_avg sf_std sxA_avg sxA_std sxB_avg sxB_std ss_avg ss_std Wald_avg Wald_std piA_avg piA_std piB_avg piB_std thetaA_avg thetaA_std thetaB_avg thetaB_std DtajA_avg DtajA_std DtajB_avg DtajB_std divAB_avg divAB_std netdivAB_avg netdivAB_std FST_avg FST_std corr_pi Ltot
0 28 0 0 0 8 0 19 0 1 0 -9 0 0.0048755 0 0.0039624 0 0.0073473 0 0.0114692 0 -1.4730819 0 -2.2527657 0 0.0045323 0 0.0001134 0 -0.0466667 0 NaN 433
10 30 0 0 0 8 0 16 0 6 0 -9 0 0.0085735 0 0.0059992 0 0.0109729 0 0.0121126 0 -1.0014808 0 -1.7543788 0 0.0076358 0 0.0003494 0 -0.0807412 0 NaN 451
11 12 0 0 0 0 0 11 0 1 0 -9 0 0.0011507 0 0.0053959 0 0.001144 0 0.0096431 0 0.0149923 0 -1.4177744 0 0.0037419 0 0.0004686 0 0.2820643 0 NaN 309
12 17 0 0 0 3 0 11 0 3 0 -9 0 0.0034226 0 0.0048337 0 0.0047342 0 0.0078881 0 -1.1461183 0 -1.2921803 0 0.0042411 0 0.0001129 0 0.0875701 0 NaN 448
13 48 0 0 0 3 0 29 0 16 0 -9 0 0.0217551 0 0.0294916 0 0.0201689 0 0.0341108 0 0.368501 0 -0.5020984 0 0.0255856 0 -3.77e-05 0 0.069695 0 NaN 333
14 40 0 0 0 18 0 12 0 10 0 -9 0 0.0193237 0 0.0104505 0 0.0253136 0 0.0147449 0 -1.1327209 0 -1.0538237 0 0.0149321 0 4.5e-05 0 -0.1510165 0 NaN 391
15 27 0 0 0 6 0 14 0 7 0 -9 0 0.0101376 0 0.0076188 0 0.0138831 0 0.0160146 0 -1.2276525 0 -1.8359008 0 0.0088419 0 -3.63e-05 0 -0.0781675 0 NaN 331
16 33 0 0 0 17 0 10 0 6 0 -9 0 0.0179818 0 0.008698 0 0.0196381 0 0.009841 0 -0.3997509 0 -0.3971667 0 0.0177161 0 0.0043762 0 -0.0428981 0 NaN 414
17 49 0 0 0 11 0 27 0 11 0 -9 0 0.0158404 0 0.0118854 0 0.0174227 0 0.0198689 0 -0.475108 0 -1.4843247 0 0.0142144 0 0.0003515 0 -0.0777374 0 NaN 487
18 60 0 0 0 5 0 33 0 22 0 -9 0 0.0220792 0 0.0247426 0 0.0201807 0 0.0273906 0 0.4966587 0 -0.3662134 0 0.0232904 0 -0.0001205 0 0.028912 0 NaN 516
19 61 0 0 0 2 0 35 0 24 0 -9 0 0.0168685 0 0.0250412 0 0.0175729 0 0.0284757 0 -0.1912062 0 -0.4529186 0 0.0214149 0 0.0004601 0 0.0957985 0 NaN 523
1 3 0 0 0 0 0 0 0 3 0 -9 0 0.0035789 0 0.0040398 0 0.0039717 0 0.00279 0 -0.3559052 0 1.0353899 0 0.0062734 0 0.0024641 0 0.213899 0 NaN 267
20 53 0 0 0 9 0 20 0 24 0 -9 0 0.0215037 0 0.0179608 0 0.02694 0 0.0256501 0 -0.9728045 0 -1.1101637 0 0.0200154 0 0.0002832 0 -0.0409822 0 NaN 433
21 19 0 0 0 4 0 9 0 6 0 -9 0 0.0103074 0 0.0067802 0 0.0097639 0 0.0095856 0 0.275556 0 -0.9857821 0 0.0095781 0 0.0010343 0 -0.0848105 0 NaN 395
22 25 0 0 0 3 0 15 0 7 0 -9 0 0.0094246 0 0.0085983 0 0.0107132 0 0.0160146 0 -0.5954362 0 -1.6756395 0 0.0091613 0 0.0001499 0 -0.0184398 0 NaN 360
23 44 0 0 0 5 0 14 0 25 0 -9 0 0.0244494 0 0.0220045 0 0.0236182 0 0.0227622 0 0.1689876 0 -0.1256398 0 0.0219805 0 -0.0012465 0 -0.0477117 0 NaN 449
24 21 0 0 0 3 0 14 0 4 0 -9 0 0.0057889 0 0.006353 0 0.0074168 0 0.012279 0 -1.0445266 0 -1.6416045 0 0.0059667 0 -0.0001042 0 0.021759 0 NaN 364
25 37 0 0 0 7 0 12 0 18 0 -9 0 0.0224001 0 0.0159868 0 0.0242868 0 0.0187639 0 -0.408799 0 -0.5286788 0 0.0181439 0 -0.0010496 0 -0.1340309 0 NaN 397
27 17 0 0 0 5 0 8 0 4 0 -9 0 0.0062972 0 0.006177 0 0.0074505 0 0.0072217 0 -0.677842 0 -0.4791633 0 0.0078454 0 0.0016084 0 0.0893731 0 NaN 427
28 4 0 0 0 0 0 1 0 3 0 -9 0 0.0045432 0 0.0028763 0 0.0047131 0 0.0044144 0 -0.1297216 0 -0.8794235 0 0.0036944 0 -1.53e-05 0 -0.13535 0 NaN 225
29 46 0 0 0 8 0 28 0 10 0 -9 0 0.014322 0 0.0143707 0 0.0176197 0 0.0243451 0 -0.9687116 0 -1.5044903 0 0.016011 0 0.0016646 0 0.0390129 0 NaN 394
2 7 0 0 0 1 0 4 0 2 0 -9 0 0.005753 0 0.0063963 0 0.005383 0 0.0075627 0 0.2472503 0 -0.4332182 0 0.0063769 0 0.0003022 0 0.0441886 0 NaN 197
30 42 0 0 0 16 0 21 0 5 0 -9 0 0.01523 0 0.0123261 0 0.018276 0 0.0154089 0 -0.9378663 0 -0.7680594 0 0.0146063 0 0.0008282 0 -0.0301983 0 NaN 469
31 38 0 0 0 5 0 26 0 7 0 -9 0 0.0082672 0 0.0077892 0 0.0085706 0 0.0160146 0 -0.1780896 0 -1.9186804 0 0.0086004 0 0.0005722 0 0.0105539 0 NaN 540
32 50 0 0 0 2 0 31 0 17 0 -9 0 0.020826 0 0.0250905 0 0.0190543 0 0.0300308 0 0.5207509 0 -0.6155459 0 0.025151 0 0.0021927 0 0.0804867 0 NaN 407
34 30 0 0 0 5 0 12 0 13 0 -9 0 0.0182669 0 0.0171843 0 0.0179969 0 0.0188826 0 0.0733059 0 -0.344281 0 0.0175696 0 -0.000156 0 -0.0163008 0 NaN 368
36 14 0 0 0 1 0 13 0 0 0 -9 0 0.0008565 0 0.0126032 0 0.0010278 0 0.0085612 0 -0.8164957 0 1.8564811 0 0.0129907 0 0.0062608 0 0.4455498 0 NaN 467
3 27 0 0 0 0 0 11 0 16 0 -9 0 0.0160736 0 0.0177648 0 0.0123219 0 0.0148482 0 1.4094409 0 0.7038696 0 0.017923 0 0.0010038 0 0.0456275 0 NaN 459
4 11 0 0 0 1 0 8 0 2 0 -9 0 0.0092369 0 0.009692 0 0.0063883 0 0.0149584 0 1.6043514 0 -1.0994049 0 0.0111446 0 0.0016801 0 0.072845 0 NaN 166
5 73 0 0 0 7 0 48 0 18 0 -9 0 0.0135744 0 0.0215783 0 0.0208423 0 0.0386518 0 -1.6600649 0 -1.6488293 0 0.0180572 0 0.0004808 0 0.1145999 0 NaN 424
6 17 0 0 0 4 0 10 0 3 0 -9 0 0.0055984 0 0.0032237 0 0.0063609 0 0.0082982 0 -0.5077492 0 -1.9926426 0 0.0046594 0 0.0002483 0 -0.1364571 0 NaN 389
7 45 0 0 0 6 0 28 0 11 0 -9 0 0.0117096 0 0.011855 0 0.0146485 0 0.0230547 0 -0.9766952 0 -1.7867 0 0.0115188 0 -0.0002635 0 -0.0048507 0 NaN 427
8 44 0 0 0 11 0 22 0 11 0 -9 0 0.010082 0 0.0097331 0 0.0122083 0 0.013576 0 -0.8234262 0 -1.0574068 0 0.0099988 0 9.12e-05 0 -0.0040405 0 NaN 637
9 41 0 0 0 7 0 31 0 3 0 -9 0 0.0045836 0 0.0154718 0 0.0065099 0 0.0155479 0 -1.3115563 0 -0.0176292 0 0.0114411 0 0.0014134 0 0.2519248 0 NaN 543
