N1	N2	Na	Tsplit
5.17120	29.99807	1.35766	19.38522 
14.27553	24.97005	8.27018	29.42460 
4.50808	18.19889	12.47890	2.29350 
13.89436	13.84535	6.46375	18.22091 
20.03471	13.59742	1.31603	11.79187 
8.81514	14.27359	12.61207	26.36576 
27.50103	16.40973	4.85575	18.53411 
24.11997	18.31037	23.07167	27.12724 
20.72718	19.39145	16.67435	15.97350 
12.26849	22.17526	7.50574	9.68492 
16.01493	25.35535	11.05333	14.21139 
9.80270	24.11418	17.68484	23.20379 
17.22008	23.03818	21.13324	18.90780 
12.15404	23.89725	20.21858	16.35701 
1.39814	25.24301	22.89008	17.51651 
2.95676	10.39240	12.64978	4.24649 
26.57122	7.62277	21.34499	13.40216 
17.77068	26.23022	14.51254	2.39797 
9.29923	11.06298	10.13849	19.53901 
27.74942	22.42069	3.29480	6.79784 
13.96796	0.93020	17.38367	15.23783 
5.75376	24.82388	16.09518	21.89443 
26.78019	8.24158	24.32778	13.07310 
24.76235	15.00873	4.86308	28.11153 
14.21398	6.78656	27.34641	20.48109 
2.96734	14.78574	5.10616	24.37715 
8.58454	23.38767	6.42229	8.11636 
4.98289	20.73699	2.37982	19.05750 
25.45580	9.02911	10.51904	4.06471 
2.94043	25.66026	2.24659	27.25270 
3.45208	26.56326	7.82669	24.31631 
23.14517	12.97150	4.81802	21.78957 
8.92834	10.44574	3.62248	26.89267 
15.79653	8.18583	0.18723	23.74486 
1.59949	4.93829	22.18945	9.91509 
0.76377	16.53077	4.41463	11.47584 
18.53722	24.07352	11.98389	28.99810 
15.75957	3.31658	22.26773	5.68477 
3.24763	7.67167	23.03750	28.32771 
23.42477	12.19350	24.51155	20.34677 
20.75554	2.91830	17.82557	2.63892 
21.34246	29.98007	19.47193	4.65767 
2.74046	22.57061	2.69420	21.66320 
17.99404	25.21573	23.47726	28.97980 
10.30580	15.52506	25.28096	15.66652 
2.34829	29.77837	17.54170	0.89109 
28.66611	20.96046	19.73005	1.24586 
12.83311	10.11545	5.76669	16.37181 
2.12617	7.88807	22.62661	16.60492 
11.69021	17.53275	1.97071	24.98021 
25.63506	6.38248	23.29366	23.09640 
11.90804	14.33462	29.23351	21.62522 
25.41021	14.40304	10.48212	20.73894 
0.02085	16.26284	20.87093	18.12549 
5.63448	21.29023	10.20679	4.51241 
19.54749	29.99313	28.75945	22.50545 
17.93162	9.85301	13.56300	14.30656 
18.33409	4.31888	24.37395	16.22617 
0.11495	10.56118	9.15953	7.57553 
10.95455	3.32621	16.35572	16.95145 
5.20370	25.58244	23.78331	9.57471 
1.16278	23.01771	23.92668	21.47073 
9.59167	28.33900	27.59199	15.25710 
26.55454	5.30644	1.92646	11.24837 
17.99729	1.83925	19.19352	15.91000 
24.01364	1.22265	19.55908	15.87084 
26.23662	24.23303	7.00325	7.43348 
17.43626	19.96641	24.86858	7.08723 
18.34925	20.77932	5.36397	1.90923 
15.15044	17.41976	1.64271	24.81178 
28.49715	24.78254	6.06019	11.53500 
15.85451	2.86404	17.83303	13.10688 
14.15065	17.10455	22.85753	14.79910 
26.80717	23.20210	19.99780	4.49962 
11.17648	11.74848	27.52163	1.81050 
28.26450	2.92760	17.04567	14.57447 
18.89565	29.96648	18.13362	1.28179 
24.39742	29.17733	26.99214	0.94535 
17.91540	4.74478	27.65571	4.92273 
9.95237	25.03631	22.17016	2.12614 
16.52696	4.13190	10.26017	10.01479 
26.18713	1.40207	11.77911	2.63246 
5.25861	14.15721	9.80530	1.69224 
26.25919	7.56486	19.55506	17.41852 
13.50175	11.53659	6.26846	20.21216 
2.06782	23.48874	11.72797	8.79062 
15.33747	9.64663	28.66868	1.91282 
23.88855	28.61386	9.76197	14.86604 
14.83086	13.15616	17.90838	16.35166 
3.38019	27.19786	2.09747	6.81683 
20.06661	21.06909	29.17421	12.19700 
11.92543	11.28795	26.06011	19.55063 
8.25700	16.61081	14.73837	9.40990 
22.16713	17.97888	22.81329	19.17641 
16.96375	12.79145	26.17688	21.81646 
13.73170	29.83926	14.14747	24.03271 
26.97806	17.54031	4.82399	22.91988 
5.00093	1.36103	2.43741	20.03211 
3.21360	19.31106	1.51955	6.00812 
12.35621	5.10024	26.59024	11.49915 
6.90545	23.18302	13.29137	3.20610 
9.58539	25.19895	11.24680	18.78833 
26.67713	16.33935	7.64821	16.82522 
3.73676	27.56862	9.06592	26.05066 
16.17730	9.30349	10.70307	3.64878 
9.38832	4.33311	29.68641	26.27723 
9.21776	10.81124	11.80123	12.03971 
18.51155	22.74601	28.69215	29.36216 
3.17273	7.14985	15.35041	6.36062 
26.87902	10.63805	15.60219	9.04902 
18.29583	15.41834	28.86875	17.43224 
15.14763	10.69955	9.09415	10.33493 
7.04800	28.32104	5.88206	4.55986 
19.21361	4.13191	29.75141	0.25452 
26.05180	16.44354	2.99122	20.28772 
0.89869	13.13638	22.69474	26.52228 
8.23024	3.45677	21.09655	2.54415 
19.35068	0.27355	3.12882	5.17659 
28.84630	14.48105	23.54395	17.34636 
22.13828	20.01148	27.97972	10.26101 
7.45910	9.76108	21.13208	3.25620 
12.83133	26.53501	22.83692	7.36726 
21.14626	28.32725	14.82019	5.40151 
19.05694	28.86434	0.77291	3.85304 
2.77591	27.70988	21.27434	8.08969 
25.44071	10.84012	9.71617	20.29297 
29.88929	24.20439	18.53714	14.62068 
29.91811	25.45890	24.16782	11.23513 
29.91914	23.38616	0.67822	22.89815 
22.95216	28.29110	13.39940	5.94580 
18.08379	10.31237	20.85457	3.33930 
26.38372	10.55477	9.04391	12.59529 
13.81528	24.45971	26.01649	4.68373 
9.96048	7.83792	17.77857	23.60240 
26.78146	3.68638	20.22240	27.97445 
15.98396	8.48349	3.12506	7.49638 
4.63523	18.01057	10.72911	12.53566 
3.18636	18.44491	15.72010	18.45755 
28.08496	27.62419	22.06645	14.05314 
29.01289	27.29112	6.87811	27.30312 
0.11377	22.73122	21.42845	15.67633 
13.67993	20.74399	17.15409	5.44022 
15.07910	23.16967	27.30923	11.50112 
22.48239	21.35746	1.61305	5.77039 
1.40070	15.98995	20.29980	2.89381 
3.80013	16.62002	29.94753	29.07395 
7.07001	24.85730	6.97557	8.90765 
6.30061	19.79417	13.05895	9.06606 
21.02381	27.24534	12.98500	17.61615 
0.83993	4.55533	19.60207	4.19929 
26.01138	19.74447	1.62474	9.64373 
20.49768	16.45605	0.37678	14.48364 
25.79451	17.23300	12.57293	22.08161 
25.17266	28.93719	10.01584	25.47482 
18.51339	28.37115	15.55569	27.94197 
22.88810	12.76264	20.54715	15.16286 
5.71759	4.04780	6.66467	9.77311 
21.18157	17.38537	26.30021	25.47152 
7.35365	19.44555	6.03912	4.89184 
13.51115	7.81724	26.43565	15.78220 
20.99992	25.59415	27.38513	17.57351 
24.57161	6.59224	17.55677	25.46565 
9.00803	25.82861	27.65693	9.51095 
24.52330	10.34910	5.15587	11.79916 
6.22942	22.18008	8.87135	1.21830 
24.23080	16.43419	12.73023	9.70805 
17.26639	22.06379	28.83970	22.33332 
22.92452	20.23702	24.74241	26.95179 
15.75390	8.87600	13.94948	13.12394 
28.83941	9.76832	25.29907	22.30199 
3.68319	26.39085	13.18919	16.34090 
20.92400	6.00488	19.06170	14.87674 
22.02279	7.17050	6.83233	25.01348 
19.02027	23.66335	19.64754	0.83583 
18.59852	22.60300	26.58299	2.99303 
6.95704	4.66587	0.28428	23.64516 
3.15459	28.79985	19.22070	26.53725 
23.64401	18.79980	25.60021	13.53138 
23.18167	11.73434	20.62088	20.44392 
25.16648	22.43946	14.60900	27.67960 
26.52975	11.01067	15.97649	1.84572 
6.13812	17.09660	23.87611	4.08566 
26.79378	25.70628	12.32034	22.36054 
9.23971	10.90949	27.37611	3.35433 
23.69432	10.38203	13.27491	25.61417 
12.31946	3.45145	8.59012	15.56832 
26.53922	10.18767	3.46048	5.66063 
22.67835	13.13455	0.86066	2.18317 
6.88278	3.86096	19.42783	19.28459 
12.13922	7.93143	20.90952	22.29195 
8.11967	6.52257	3.16147	26.17360 
14.79503	29.99295	6.62935	19.76702 
23.25264	2.62983	26.17981	27.14068 
10.08621	18.72369	27.06781	4.92705 
24.06350	6.87245	21.52891	5.23405 
29.32986	11.80660	29.08282	22.94605 
2.45427	14.21548	28.50816	28.92926 
15.49114	25.33712	28.01940	3.78672 
25.39226	21.97091	20.46803	24.19287 
28.70179	1.14908	16.10416	16.88083 
11.96207	11.82002	29.57771	19.29691 
22.23451	19.27209	26.44161	26.26902 
21.88199	18.45313	12.86320	12.80170 
5.73778	15.42359	20.45993	0.29080 
2.69922	8.95493	1.68366	25.89558 
22.62170	16.59199	4.44447	10.33692 
26.46780	7.72327	0.35590	10.06416 
0.03743	24.69150	20.04703	19.41075 
12.82932	7.28210	17.90294	0.58278 
14.13904	29.56293	23.43783	17.67435 
4.63598	22.00662	25.41296	10.55908 
29.91819	26.99111	5.52883	23.42982 
23.69770	29.45093	10.04765	29.66070 
19.89870	29.20533	2.99933	14.56638 
14.42521	2.87361	6.70897	2.92738 
11.82991	10.19606	10.55115	16.55304 
10.90368	24.95172	3.62117	22.95377 
8.02051	20.18576	12.59631	18.55646 
12.54167	4.22178	25.46241	16.32664 
29.88734	14.53321	16.07356	3.33873 
19.42756	18.18060	3.03269	17.77692 
0.91488	20.99553	8.87224	13.72047 
24.73913	15.18901	27.74406	22.70019 
10.18242	26.00929	11.62418	8.44652 
27.03181	7.00378	6.25744	11.51714 
11.03731	14.51939	16.68294	18.53195 
17.65394	14.56986	21.43066	21.61694 
20.01191	5.46611	27.13667	29.74139 
26.05097	9.26100	3.15064	11.54027 
0.84777	18.89154	12.93806	8.47073 
4.98931	27.89278	23.92767	10.14347 
29.16889	24.87573	24.84586	17.45395 
8.77812	27.20238	19.08491	29.96459 
1.79194	1.28843	5.82513	10.44690 
21.78136	0.21425	11.29555	0.36582 
15.09929	24.20155	26.69257	2.58954 
15.01758	9.65163	21.79425	6.78911 
17.16525	2.95686	25.12027	18.57900 
25.84247	10.92734	19.14575	27.33724 
14.26396	10.45699	27.17869	19.68500 
13.81503	1.03824	27.62224	21.31211 
14.11091	18.53613	7.21038	5.95304 
18.75370	17.87547	4.85937	8.86849 
8.81475	7.82739	27.06184	13.20904 
29.20628	24.90026	7.22560	8.87499 
4.41008	2.52667	18.33855	10.76472 
24.17916	11.61281	1.04895	9.59832 
3.83585	24.97027	18.01501	5.54912 
7.52714	13.56577	22.01214	15.21243 
12.84622	9.79307	25.43920	9.28973 
23.53481	19.77401	20.99140	27.03483 
2.98151	23.61758	12.94808	1.13868 
9.01317	18.14300	16.13709	15.10543 
18.74257	11.47661	18.16317	3.05796 
4.87477	20.68226	16.07463	2.07136 
27.03017	16.68681	24.59439	24.24750 
13.20618	18.90693	11.24003	12.49595 
28.21698	24.58743	9.81365	15.02230 
29.95670	22.34596	13.86513	22.15172 
26.35367	11.49671	3.01881	3.79006 
1.01997	10.82345	14.30355	6.21553 
5.96324	18.68228	27.05251	28.62248 
13.20329	11.50578	17.42681	3.11536 
12.50173	22.14440	18.33006	15.44267 
10.67431	7.52493	0.87315	24.39806 
19.03703	17.70512	17.00393	21.94087 
6.48875	19.93090	4.96199	23.36350 
18.16152	0.59647	26.66833	8.21196 
8.00514	5.70447	19.07727	1.41757 
5.16568	25.98081	2.20939	29.00640 
29.67116	18.68405	24.94312	17.79753 
0.42154	21.45302	12.34208	26.47352 
4.98905	6.67136	26.95546	9.73745 
27.26041	13.16753	19.17024	29.04346 
11.33819	9.38212	27.96844	20.22723 
9.48761	4.91507	2.72973	21.63874 
2.96436	17.45241	2.62220	14.01626 
19.40270	6.59544	9.62938	21.99433 
28.49185	10.10119	2.52286	15.39265 
20.40166	22.07685	21.64984	27.86211 
9.10732	25.17250	9.96789	7.61926 
29.74803	10.53053	12.89343	24.82305 
0.43649	13.64702	17.48737	17.57302 
2.38932	17.59330	4.10265	7.43600 
4.18893	12.73096	7.34063	27.13476 
16.41087	0.00692	11.38384	29.02999 
3.76740	1.47292	13.49099	26.81142 
24.71934	13.99054	21.52426	17.85894 
