dataset bialsites_avg bialsites_std sf_avg sf_std sxA_avg sxA_std sxB_avg sxB_std ss_avg ss_std Wald_avg Wald_std piA_avg piA_std piB_avg piB_std thetaA_avg thetaA_std thetaB_avg thetaB_std DtajA_avg DtajA_std DtajB_avg DtajB_std divAB_avg divAB_std netdivAB_avg netdivAB_std FST_avg FST_std corr_pi Ltot
0 19 0 0 0 14 0 5 0 0 0 -9 0 0.0037731 0 0.0057686 0 0.0073433 0 0.0052137 0 -1.2566572 0 0.4268109 0 0.0063762 0 0.0016054 0 -0.170425 0 NaN 339
10 13 0 0 0 1 0 11 0 1 0 -9 0 0.001978 0 0.0047286 0 0.001239 0 0.0072349 0 1.3985497 0 -1.2137601 0 0.0044755 0 0.0011222 0 0.1600529 0 NaN 455
11 45 0 0 0 12 0 25 0 8 0 -9 0 0.0031371 0 0.0023593 0 0.0024112 0 0.0029077 0 1.5673892 0 -0.743606 0 0.0030478 0 0.0002996 0 -0.0147183 0 NaN 3199
12 33 0 0 0 5 0 24 0 4 0 -9 0 0.0027841 0 0.0039528 0 0.0022179 0 0.004908 0 1.250448 0 -0.7435897 0 0.0046253 0 0.0012569 0 0.18826 0 NaN 1565
13 96 0 0 0 28 0 22 0 46 0 -9 0 0.0293227 0 0.0341147 0 0.0225518 0 0.0236032 0 1.2522687 0 2.0606031 0 0.0372506 0 0.0055318 0 0.0667222 0 NaN 954
14 18 0 0 0 3 0 5 0 10 0 -9 0 0.0188712 0 0.0314136 0 0.0214025 0 0.0260057 0 -0.4752619 0 0.8928393 0 0.0287958 0 0.0036534 0 0.0529646 0 NaN 191
15 3 0 0 0 0 0 3 0 0 0 -9 0 0 0 0.0147636 0 0 0 0.0102613 0 0 0 1.2165599 0 0.0104575 0 0.0030757 0 0.4677871 0 NaN 85
1 88 0 0 0 15 0 40 0 33 0 -9 0 0.029126 0 0.0331182 0 0.0302746 0 0.0423361 0 -0.1275617 0 -0.7149134 0 0.0328606 0 0.0017385 0 0.0382959 0 NaN 340
2 8 0 0 0 6 0 2 0 0 0 -9 0 0.0020387 0 0.0023474 0 0.0027311 0 0.0018107 0 -0.5714952 0 1.1039354 0 0.003054 0 0.000861 0 -0.0044653 0 NaN 426
3 17 0 0 0 1 0 3 0 13 0 -9 0 0.0429791 0 0.0434929 0 0.0408979 0 0.0390647 0 0.1676044 0 0.3331783 0 0.0427101 0 -0.0005259 0 -0.0030858 0 NaN 85
4 18 0 0 0 1 0 15 0 2 0 -9 0 0.0007155 0 0.0036037 0 0.0009472 0 0.0050093 0 -0.6003233 0 -0.9370636 0 0.0024887 0 0.0003291 0 0.1418268 0 NaN 830
5 8 0 0 0 3 0 2 0 3 0 -9 0 0.0031993 0 0.0021176 0 0.0028095 0 0.0025999 0 0.3790315 0 -0.5375395 0 0.003452 0 0.0007936 0 0.157111 0 NaN 515
6 9 0 0 0 2 0 6 0 1 0 -9 0 0.0011321 0 0.0050085 0 0.0017732 0 0.0045944 0 -0.8096049 0 0.2817158 0 0.0085557 0 0.0054854 0 0.4272116 0 NaN 408
7 15 0 0 0 5 0 8 0 2 0 -9 0 0.0025793 0 0.0049407 0 0.0032424 0 0.0050718 0 -0.5869016 0 -0.0862018 0 0.0066659 0 0.0029059 0 0.2466347 0 NaN 528
8 10 0 0 0 4 0 4 0 2 0 -9 0 0.0031045 0 0.0015002 0 0.0023199 0 0.0019848 0 1.0777363 0 -0.6670916 0 0.0032312 0 0.0009289 0 0.0817966 0 NaN 729
9 6 0 0 0 3 0 2 0 1 0 -9 0 0.0028666 0 0.0015556 0 0.0016665 0 0.0012499 0 1.9238945 0 0.6002093 0 0.0054468 0 0.0032357 0 0.4272795 0 NaN 629
