dataset bialsites_avg bialsites_std sf_avg sf_std sxA_avg sxA_std sxB_avg sxB_std ss_avg ss_std Wald_avg Wald_std piA_avg piA_std piB_avg piB_std thetaA_avg thetaA_std thetaB_avg thetaB_std DtajA_avg DtajA_std DtajB_avg DtajB_std divAB_avg divAB_std netdivAB_avg netdivAB_std FST_avg FST_std corr_pi Ltot
0 54 0 0 0 23 0 18 0 13 0 -9 0 0.0035929 0 0.0020303 0 0.0075524 0 0.0061664 0 -1.7197663 0 -2.102396 0 0.0029668 0 0.0001552 0 -0.0079357 0 NaN 1015
1 79 0 0 0 35 0 29 0 15 0 -9 0 0.0046575 0 0.0069908 0 0.0091154 0 0.0076859 0 -1.6416512 0 -0.2936892 0 0.0061905 0 0.0003663 0 0.0491339 0 NaN 1168
2 78 0 0 0 30 0 14 0 34 0 -9 0 0.0082545 0 0.0058402 0 0.0096948 0 0.007405 0 -0.4966514 0 -0.7021142 0 0.0097107 0 0.0026634 0 0.1648806 0 NaN 1362
3 63 0 0 0 19 0 20 0 24 0 -9 0 0.0069259 0 0.0068512 0 0.0083695 0 0.0081622 0 -0.5733488 0 -0.5200448 0 0.0078611 0 0.0009726 0 0.0650315 0 NaN 1094
4 61 0 0 0 26 0 21 0 14 0 -9 0 0.0034392 0 0.0026355 0 0.0072022 0 0.0059639 0 -1.7351886 0 -1.7743907 0 0.0114843 0 0.008447 0 0.5761974 0 NaN 1191
5 56 0 0 0 16 0 8 0 32 0 -9 0 0.0119635 0 0.0088653 0 0.0112956 0 0.0090428 0 0.1996473 0 -0.063931 0 0.0112614 0 0.000847 0 0.025987 0 NaN 918
6 58 0 0 0 23 0 18 0 17 0 -9 0 0.008072 0 0.0062178 0 0.0099517 0 0.0084046 0 -0.6330127 0 -0.8446828 0 0.007556 0 0.0004111 0 0.0178503 0 NaN 875
7 45 0 0 0 14 0 11 0 20 0 -9 0 0.0065614 0 0.0083278 0 0.0086651 0 0.0074844 0 -0.8163425 0 0.3634042 0 0.0110609 0 0.0036164 0 0.2037639 0 NaN 876
8 137 0 0 0 0 0 136 0 1 0 -9 0 0.0004656 0 0.0465647 0 0.0002848 0 0.0365108 0 0.8719375 0 0.9622026 0 0.0318289 0 0.0083138 0 0.2422669 0 NaN 799
9 56 0 0 0 27 0 3 0 26 0 -9 0 0.006923 0 0.0063412 0 0.011465 0 0.0062209 0 -1.3647536 0 0.0634636 0 0.0067772 0 0.0001451 0 0.0101068 0 NaN 1023
