dataset bialsites_avg bialsites_std sf_avg sf_std sxA_avg sxA_std sxB_avg sxB_std ss_avg ss_std Wald_avg Wald_std piA_avg piA_std piB_avg piB_std thetaA_avg thetaA_std thetaB_avg thetaB_std DtajA_avg DtajA_std DtajB_avg DtajB_std divAB_avg divAB_std netdivAB_avg netdivAB_std FST_avg FST_std corr_pi Lsyno
Contig10017 10 0 9 0 1 0 0 0 0 0 -9 0 0.009434 0 0 0 0.0102916 0 0 0 -0.6123711 0 0 0 0.1745283 0 0.1698113 0 0.9536424 0 NaN 53
Contig10027 16 0 7 0 5 0 4 0 0 0 8 0 0.0315789 0 0.0210526 0 0.0287081 0 0.0229665 0 0.9562117 0 -0.7801223 0 0.1052632 0 0.0789474 0 0.631579 0 NaN 95
Contig10037 3 0 2 0 0 0 1 0 0 0 -9 0 0 0 0.0217391 0 0 0 0.0237154 0 0 0 -0.6123711 0 0.0978261 0 0.0869565 0 0.8205128 0 NaN 23
Contig10045 11 0 5 0 0 0 5 0 1 0 8 0 0.0162602 0 0.0731707 0 0.0133038 0 0.0798226 0 1.6329898 0 -0.8086064 0 0.1890244 0 0.1443089 0 0.6484019 0 NaN 41
Contig10104 11 0 7 0 2 0 2 0 0 0 -9 0 0.0096419 0 0.0082645 0 0.0090158 0 0.0090158 0 0.59158 0 -0.7098954 0 0.072314 0 0.0633609 0 0.8017429 0 NaN 121
Contig1014 8 0 7 0 1 0 0 0 0 0 -9 0 0.0116279 0 0 0 0.012685 0 0 0 -0.6123703 0 0 0 0.1802326 0 0.1744186 0 0.9448819 0 NaN 43
Contig10161 28 0 10 0 10 0 8 0 0 0 17 0 0.05 0 0.0433333 0 0.0545455 0 0.0436364 0 -0.8337865 0 -0.068672 0 0.175 0 0.1283333 0 0.6111111 0 NaN 100
Contig1018 12 0 9 0 1 0 2 0 0 0 -9 0 0.0083333 0 0.0166667 0 0.0090909 0 0.0181818 0 -0.6123711 0 -0.7098949 0 0.1708333 0 0.1583333 0 0.8786127 0 NaN 60
Contig10184 9 0 7 0 0 0 2 0 0 0 -9 0 0 0 0.03125 0 0 0 0.0340909 0 0 0 -0.7098949 0 0.25 0 0.234375 0 0.8955224 0 NaN 32
Contig10197 28 0 15 0 6 0 7 0 0 0 14 0 0.0336879 0 0.0425532 0 0.0348162 0 0.040619 0 -0.314457 0 0.4670485 0 0.2101064 0 0.1719858 0 0.72052 0 NaN 94
Contig102 12 0 11 0 0 0 1 0 0 0 -9 0 0 0 0.0078125 0 0 0 0.0085227 0 0 0 -0.6123711 0 0.1757812 0 0.171875 0 0.9617487 0 NaN 64
Contig10227 28 0 19 0 2 0 7 0 0 0 13 0 0.0084926 0 0.0233546 0 0.0069485 0 0.0243196 0 1.893054 0 -0.389207 0 0.1433121 0 0.1273885 0 0.8205128 0 NaN 157
Contig10237 3 0 1 0 0 0 2 0 0 0 -9 0 0 0 0.0402299 0 0 0 0.0376176 0 0 0 0.5915791 0 0.0775862 0 0.0574713 0 0.620155 0 NaN 29
Contig10239 32 0 26 0 3 0 3 0 0 0 11 0 0.0129199 0 0.0116279 0 0.012685 0 0.012685 0 0.1676555 0 -0.7544492 0 0.2267442 0 0.2144703 0 0.9089665 0 NaN 129
Contig10246 11 0 8 0 1 0 2 0 0 0 -9 0 0.0074627 0 0.0149254 0 0.0081411 0 0.0162822 0 -0.6123711 0 -0.7098949 0 0.1380597 0 0.1268657 0 0.8662421 0 NaN 67
Contig1029 12 0 6 0 1 0 5 0 0 0 6 0 0.0111111 0 0.0740741 0 0.0121212 0 0.0606061 0 -0.6123711 0 2.1249144 0 0.1944444 0 0.1518519 0 0.6707566 0 NaN 45
Contig10325 14 0 9 0 2 0 3 0 0 0 6 0 0.0285714 0 0.047619 0 0.0311688 0 0.0467532 0 -0.7098949 0 0.1676562 0 0.3285714 0 0.2904762 0 0.8133333 0 NaN 35
Contig1033 22 0 8 0 7 0 5 0 2 0 13 0 0.04811 0 0.0378007 0 0.0506092 0 0.0393627 0 -0.4915121 0 -0.389207 0 0.1533505 0 0.1103952 0 0.5949074 0 NaN 97
Contig1036 20 0 9 0 7 0 4 0 0 0 11 0 0.0416667 0 0.0253623 0 0.041502 0 0.0237154 0 0.0389214 0 0.6501015 0 0.1440217 0 0.1105072 0 0.6532798 0 NaN 92
Contig10371 4 0 4 0 0 0 0 0 0 0 -9 0 0 0 0 0 0 0 0 0 0 0 0 0 0.1481481 0 0.1481481 0 1 0 NaN 27
Contig10412 5 0 2 0 2 0 1 0 0 0 -9 0 0.0344828 0 0.0172414 0 0.0376176 0 0.0188088 0 -0.7098949 0 -0.6123711 0 0.1293103 0 0.1034483 0 0.6956522 0 NaN 29
Contig10420 17 0 11 0 2 0 4 0 0 0 9 0 0.010101 0 0.0218855 0 0.0110193 0 0.0220386 0 -0.7098949 0 -0.0650096 0 0.1388889 0 0.1228956 0 0.8145049 0 NaN 99
Contig10489 12 0 10 0 0 0 2 0 0 0 -9 0 0 0 0.02 0 0 0 0.0218182 0 0 0 -0.7098949 0 0.21 0 0.2 0 0.9195402 0 NaN 50
Contig10492 29 0 8 0 7 0 11 0 3 0 13 0 0.0679012 0 0.0884774 0 0.0673401 0 0.0942761 0 0.083378 0 -0.6239286 0 0.1898148 0 0.1116255 0 0.4492754 0 NaN 81
Contig10522 15 0 7 0 1 0 6 0 1 0 6 0 0.0121951 0 0.0487805 0 0.0133038 0 0.0465632 0 -0.7098954 0 0.4670485 0 0.1310976 0 0.1006097 0 0.6534653 0 NaN 82
Contig10664 52 0 31 0 11 0 10 0 0 0 28 0 0.0361111 0 0.0287037 0 0.0333333 0 0.030303 0 0.8374069 0 -0.5280641 0 0.2166667 0 0.1842593 0 0.7646493 0 NaN 180
Contig10677 21 0 7 0 1 0 13 0 0 0 7 0 0.0125 0 0.1916667 0 0.0136364 0 0.1772727 0 -0.6123711 0 0.8214499 0 0.33125 0 0.2291667 0 0.5619413 0 NaN 40
Contig10680 41 0 20 0 4 0 17 0 0 0 22 0 0.0133745 0 0.0617284 0 0.013468 0 0.0572391 0 -0.0650107 0 0.8005323 0 0.1805556 0 0.1430041 0 0.6851509 0 NaN 162
Contig1069 10 0 4 0 1 0 5 0 0 0 -9 0 0.0119048 0 0.0535714 0 0.0097403 0 0.0487013 0 1.6329906 0 0.9562117 0 0.1160714 0 0.0833333 0 0.5925925 0 NaN 56
Contig10743 9 0 9 0 0 0 0 0 0 0 -9 0 0 0 0 0 0 0 0 0 0 0 0 0 0.2647059 0 0.2647059 0 1 0 NaN 34
Contig10748 18 0 8 0 6 0 4 0 0 0 10 0 0.0508475 0 0.039548 0 0.05547 0 0.03698 0 -0.8086064 0 0.6501015 0 0.220339 0 0.1751412 0 0.6888889 0 NaN 59
Contig10751 18 0 16 0 1 0 1 0 0 0 -9 0 0.0119048 0 0.0119048 0 0.012987 0 0.012987 0 -0.6123711 0 -0.6123711 0 0.4166667 0 0.4047619 0 0.951049 0 NaN 42
Contig10780 8 0 3 0 3 0 2 0 0 0 -9 0 0.075 0 0.05 0 0.0818182 0 0.0545455 0 -0.7544506 0 -0.7098949 0 0.2875 0 0.225 0 0.6728972 0 NaN 20
Contig10794 24 0 13 0 1 0 10 0 0 0 12 0 0.0037665 0 0.0357815 0 0.0030817 0 0.0308166 0 1.6329898 0 1.6119874 0 0.1045198 0 0.0847458 0 0.7100592 0 NaN 177
