N1	N2	Na	Tsplit	M1	M2	propNtrlM1	propNtrlM2
28.06764	2.50296	3.67137	10.64378 	10.82679	20.48050	344	348
22.38067	28.35152	0.30903	25.58244 	21.46335	16.45599	370	83
21.09582	18.22815	21.51715	16.84017 	7.07784	23.81690	148	364
12.25357	8.15483	16.62320	7.05788 	0.80090	10.12002	453	137
16.68432	1.62399	1.80904	17.01181 	23.03678	9.50713	147	223
1.83294	29.83577	7.21856	16.80462 	7.13889	0.07882	466	19
17.68742	18.81697	18.77506	0.21291 	19.22481	15.93969	202	25
10.79346	17.97387	9.91445	20.97879 	0.09638	10.27380	276	504
12.29428	1.68048	10.24795	9.84048 	28.55408	27.17688	93	497
9.83974	2.27957	17.58287	14.49036 	19.07545	18.29454	357	108
16.31769	23.96271	9.50407	27.90873 	4.72448	25.05585	369	85
24.15909	15.06790	7.88805	9.72570 	21.76708	12.35283	436	113
26.44237	26.25290	6.49808	26.97636 	7.67563	9.20683	368	302
26.57604	13.84873	2.08343	0.61626 	8.53841	21.92024	171	337
1.63409	10.52194	17.32034	2.36606 	25.05633	13.82091	139	37
13.20121	12.32747	22.61489	5.16176 	3.23257	16.39739	25	243
4.80122	18.25220	5.41291	14.43115 	28.99475	29.65075	406	235
13.15367	25.75259	27.06586	26.59593 	3.88990	18.93685	224	37
6.27710	13.89872	0.37148	0.62325 	5.32359	11.73703	302	136
16.31276	20.72894	23.17395	14.56027 	18.89056	29.11777	45	465
18.24973	20.38255	3.79941	6.55987 	1.37752	24.29635	207	506
22.16721	16.98873	13.49234	1.03665 	17.60321	0.76024	504	224
14.50576	23.48935	27.95301	15.80121 	13.91683	0.81274	298	348
3.99569	17.16995	7.51487	22.72087 	16.48538	5.05151	503	347
18.49533	12.89238	18.67985	21.08508 	29.58509	13.63034	363	344
9.65010	28.52709	23.90123	7.64439 	18.47654	20.49114	361	472
17.16267	1.81164	0.61626	23.68996 	5.06104	11.89439	217	301
8.78938	4.54178	21.47987	2.32878 	5.53744	0.41621	107	364
18.30013	14.41212	7.05334	14.65738 	25.35160	0.74597	31	250
17.07203	29.00919	22.16148	12.15642 	18.67245	1.43263	210	514
28.58444	6.83734	18.69502	17.21529 	2.74198	10.97626	61	38
1.38848	2.04328	27.78292	4.46129 	18.25424	13.29149	207	464
4.84873	21.46353	8.96232	20.61220 	12.58458	14.83355	218	326
12.08982	18.55031	7.53585	27.67156 	1.34887	5.74520	230	294
28.60553	3.42234	3.93271	28.54374 	12.81799	26.77929	520	284
18.67736	19.79699	12.25914	26.83727 	0.12704	26.77086	425	105
6.35124	16.84916	23.16252	12.85365 	3.82827	10.71126	492	80
17.58784	25.75851	3.63148	19.78822 	25.21200	6.16997	492	93
3.15385	16.40809	9.97276	22.24115 	28.85088	10.59495	362	250
25.16171	23.52959	18.21404	10.97627 	23.62040	22.38765	189	348
29.33710	9.99011	25.15742	1.00044 	29.99986	20.89700	260	50
19.17550	16.19559	14.37235	27.96894 	20.34012	27.09375	420	338
4.64874	7.75975	7.09415	4.41909 	24.30561	20.92999	270	176
15.84621	21.74260	22.71437	13.60665 	8.00578	23.48717	260	52
5.97078	6.88795	21.66238	4.71804 	1.14554	29.02522	308	219
14.62187	6.17478	20.22077	24.60731 	6.17006	5.70818	55	309
11.45346	23.25219	12.10086	4.05053 	24.78236	29.19622	168	123
0.75849	11.36230	12.57776	22.73457 	6.40172	23.54817	464	465
5.95996	4.94775	28.39231	1.43753 	7.94139	6.23243	242	182
10.06473	6.95257	21.48721	27.53433 	7.78788	17.50264	5	158
0.86042	2.10406	24.71043	6.64786 	17.80173	7.20706	35	197
10.33515	6.02581	12.19956	4.15874 	11.55556	6.20118	521	357
20.88964	18.56547	6.87466	0.21359 	14.78983	21.18311	118	297
17.92434	5.61694	19.27073	8.69201 	10.23078	17.70477	183	88
12.85719	19.71265	3.85557	19.12673 	4.29089	4.22123	187	324
24.29643	19.84062	26.47554	13.39841 	21.30932	0.49045	356	12
14.88797	7.06508	12.49611	29.26073 	7.72862	9.34902	384	341
26.54400	14.06674	29.84672	1.50560 	12.97010	27.74344	296	191
15.84545	8.42901	6.10946	14.25125 	23.70929	9.73083	471	207
24.74511	8.34598	15.36624	10.29006 	29.08045	10.90497	335	378
10.63595	13.06849	21.20709	9.25999 	11.00477	7.61835	346	397
2.30308	17.22113	22.61777	5.47636 	18.50774	13.82902	296	306
23.97896	23.66677	19.23150	21.59916 	24.98379	10.46626	116	337
12.03545	11.70635	21.34759	23.09874 	21.97011	5.81356	136	372
3.62214	24.54072	3.75689	25.90864 	14.83038	22.30647	304	106
29.98145	13.19134	18.94594	11.83271 	14.09734	22.32670	357	196
28.70124	7.32576	21.87329	15.90938 	12.97975	22.20140	538	207
4.75712	4.74207	2.13347	3.12557 	12.35986	6.14181	18	195
4.36653	2.08318	11.09647	13.24988 	4.96639	0.87725	84	462
18.06996	25.79414	15.37929	6.20035 	11.87613	24.03679	532	225
18.14256	14.53173	11.86609	22.42817 	26.91787	18.17810	18	94
17.65336	29.94757	15.51676	11.74615 	24.24787	26.51919	406	251
7.59425	7.78446	15.35312	27.90543 	18.01301	29.38068	533	311
21.45552	0.59165	11.36552	18.12991 	16.19995	24.35815	138	516
20.48983	6.84854	29.92724	2.94837 	20.64843	19.28590	300	117
20.66396	23.50844	13.34834	29.92175 	10.40658	13.59799	484	288
16.01937	22.19186	1.47744	21.40202 	14.02674	28.16254	298	236
8.67065	28.00516	27.60339	16.95443 	27.60178	6.83532	200	150
4.60683	2.88697	5.55386	2.60665 	8.97531	10.82648	223	448
2.70102	29.12115	2.95187	6.53443 	12.28072	12.88230	390	369
0.59432	13.18842	12.89591	4.88145 	29.29167	4.98014	482	479
29.32503	22.14450	7.37125	0.63665 	4.14361	1.02064	334	293
5.15424	13.76322	5.60626	4.15643 	12.33449	15.68986	135	494
21.35864	22.70220	4.66803	11.13325 	0.47757	26.14390	180	371
5.01305	29.37824	1.23365	23.08116 	13.36779	9.25236	113	482
16.05796	26.62235	2.38938	26.12393 	26.37871	16.95190	49	31
13.58627	7.47868	19.53324	26.11545 	26.37240	19.43076	103	336
26.52397	25.70476	3.58046	0.15881 	26.06281	3.47511	181	498
14.38015	13.42725	2.15906	28.54528 	10.20520	7.60927	398	120
7.68122	11.22849	7.38775	4.58617 	8.32569	3.24696	180	469
21.06331	4.36223	28.34347	9.49978 	28.99581	11.79142	506	318
4.79473	7.28504	4.58167	0.20318 	0.16914	15.67478	286	538
4.90984	1.31463	18.58750	2.63336 	22.65345	7.90099	409	116
6.49552	14.71763	16.78487	4.11085 	7.60307	4.70853	121	166
1.95178	6.01788	25.12280	27.95913 	19.29138	3.95089	279	346
6.47641	23.62683	17.98680	17.66031 	25.59352	14.22931	241	70
12.49439	28.27092	24.81145	29.12913 	13.89353	24.13434	152	354
2.05248	5.61222	14.28126	7.57903 	25.99116	5.55906	333	265
8.54058	27.87969	29.59521	11.51831 	24.25872	2.83936	375	434
13.46327	27.90548	10.75361	15.11171 	5.43654	13.89482	18	470
23.66509	22.65014	5.88220	22.18317 	8.45596	27.29798	527	402
2.74330	6.26500	9.09390	4.09268 	3.04919	4.09955	376	179
12.84952	4.11568	9.52686	14.68855 	23.11817	28.34195	320	367
9.18388	28.95242	15.25573	4.27232 	16.29672	15.28465	428	366
7.66294	27.16468	9.32162	21.30870 	23.81219	10.62104	423	130
17.40269	6.85058	25.40563	0.99351 	20.70168	24.53155	442	262
1.67520	14.22257	8.08576	11.70299 	24.02485	25.13204	222	404
26.49815	18.66022	24.46277	3.66729 	8.68602	1.06019	36	123
15.81316	14.22809	16.58566	22.82927 	17.17671	2.16410	364	232
2.29658	24.74045	21.13999	0.32923 	24.43240	22.43952	387	84
1.18992	27.20201	24.97273	26.24795 	29.85422	25.38835	429	40
16.22502	2.69181	22.62002	16.51526 	27.60905	7.66582	455	148
4.58954	20.91372	21.65917	12.17457 	21.29978	15.33520	60	134
2.97763	27.75819	10.41296	15.95908 	3.57104	24.30377	413	364
17.07971	16.59108	27.58805	3.84579 	29.73011	10.05361	257	469
21.45246	4.63612	1.10831	8.88649 	16.95169	11.87300	470	224
29.49378	24.50477	18.33107	5.62322 	4.40323	17.18331	324	177
10.26705	28.77307	4.19467	2.27625 	26.50534	24.77799	529	188
8.66287	4.39444	10.57545	0.67312 	27.53699	10.64694	335	361
5.29535	17.85081	16.15676	1.59441 	2.62970	11.80236	409	263
16.38213	18.58808	3.85247	23.21106 	15.13324	16.53644	81	254
26.29827	23.61128	17.88782	15.80269 	21.76186	24.71468	8	19
9.45629	14.33457	2.38985	1.84112 	15.44304	9.02870	79	354
28.92670	25.14272	27.58256	12.48631 	19.88540	10.33489	461	345
22.23633	8.84434	9.72804	3.22822 	1.73702	8.11163	323	192
26.87307	14.32793	19.38898	17.33804 	15.33666	28.78896	139	310
9.41992	12.81425	1.22334	24.74159 	16.89953	5.71598	105	3
8.87861	3.40142	5.88051	10.55862 	14.38214	3.44568	299	185
4.23891	2.89937	28.16442	11.55721 	2.94955	4.32106	291	365
22.77163	17.18501	21.00017	14.04711 	2.11763	13.15127	487	372
14.58094	19.71102	20.32791	23.05569 	0.84436	1.80776	280	535
19.01231	16.50809	19.98834	6.24890 	14.19185	1.55869	260	382
