dataset bialsites_avg bialsites_std sf_avg sf_std sxA_avg sxA_std sxB_avg sxB_std ss_avg ss_std Wald_avg Wald_std piA_avg piA_std piB_avg piB_std thetaA_avg thetaA_std thetaB_avg thetaB_std DtajA_avg DtajA_std DtajB_avg DtajB_std divAB_avg divAB_std netdivAB_avg netdivAB_std FST_avg FST_std corr_pi Lsyno
Contig100142 7 0 3 0 0 0 4 0 0 0 -9 0 0 0 0.0249042 0 0 0 0.0250784 0 0 0 -0.0650107 0 0.0545977 0 0.0421456 0 0.6591761 0 NaN 87
Contig10127 55 0 1 0 21 0 31 0 2 0 -9 0 0.0420091 0 0.047032 0 0.0343711 0 0.0493151 0 2.2855563 0 -0.4793329 0 0.0856164 0 0.0410959 0 0.3453237 0 NaN 365
Contig102005 8 0 3 0 1 0 4 0 0 0 -9 0 0.0065789 0 0.0307018 0 0.007177 0 0.0287081 0 -0.6123716 0 0.6501015 0 0.0690789 0 0.0504386 0 0.6072607 0 NaN 76
Contig102321 10 0 7 0 1 0 2 0 0 0 -9 0 0.0096618 0 0.0144928 0 0.0079051 0 0.0158103 0 1.6329906 0 -0.7098949 0 0.115942 0 0.1038647 0 0.8309179 0 NaN 69
Contig102612 29 0 11 0 11 0 7 0 0 0 12 0 0.0196078 0 0.0136166 0 0.0196078 0 0.0124777 0 2e-07 0 0.8951781 0 0.0596405 0 0.0430283 0 0.5967894 0 NaN 306
Contig102762 6 0 1 0 1 0 4 0 0 0 -9 0 0.0071429 0 0.0285714 0 0.0077922 0 0.0311688 0 -0.6123711 0 -0.7801219 0 0.0321429 0 0.0142857 0 0.3137254 0 NaN 70
Contig103838 12 0 2 0 4 0 6 0 0 0 -9 0 0.0355191 0 0.0519126 0 0.0357675 0 0.0536513 0 -0.0650096 0 -0.3144584 0 0.0983607 0 0.0546448 0 0.4166667 0 NaN 61
Contig109400 13 0 2 0 1 0 10 0 0 0 -9 0 0.0062305 0 0.0482866 0 0.0050977 0 0.0509771 0 1.6329898 0 -0.528065 0 0.0630841 0 0.0358255 0 0.4289044 0 NaN 107
Contig110322 6 0 0 0 1 0 5 0 0 0 -9 0 0.0107527 0 0.0483871 0 0.0087977 0 0.0439883 0 1.6329906 0 0.9562117 0 0.0403226 0 0.0107527 0 0.1720431 0 NaN 62
Contig110461 27 0 1 0 9 0 16 0 1 0 -9 0 0.0284091 0 0.0492424 0 0.0309917 0 0.0526859 0 -0.8337865 0 -0.6671114 0 0.0610795 0 0.0222538 0 0.2467192 0 NaN 176
Contig111261 21 0 10 0 6 0 5 0 0 0 14 0 0.0204082 0 0.0170068 0 0.0222635 0 0.0185529 0 -0.8086064 0 -0.7968428 0 0.0935374 0 0.0748299 0 0.6956521 0 NaN 147
Contig113470 5 0 3 0 0 0 2 0 0 0 -9 0 0 0 0.0248227 0 0 0 0.0232108 0 0 0 0.5915791 0 0.0797872 0 0.0673759 0 0.7562189 0 NaN 47
Contig114571 3 0 0 0 3 0 0 0 0 0 -9 0 0.0357143 0 0 0 0.038961 0 0 0 -0.7544492 0 0 0 0.0178571 0 0 0 0 0 NaN 42
Contig115035 2 0 0 0 0 0 2 0 0 0 -9 0 0 0 0.0248227 0 0 0 0.0232108 0 0 0 0.5915791 0 0.0159574 0 0.0035461 0 0.1403509 0 NaN 47
Contig116859 7 0 1 0 2 0 3 0 1 0 -9 0 0.0517241 0 0.0689655 0 0.0564263 0 0.0752351 0 -0.7544498 0 -0.7801219 0 0.1336207 0 0.0732759 0 0.4096385 0 NaN 29
Contig119083 9 0 0 0 4 0 5 0 0 0 -9 0 0.0165289 0 0.0206612 0 0.0180316 0 0.0225394 0 -0.7801223 0 -0.7968428 0 0.018595 0 0 0 1e-07 0 NaN 121
Contig119330 27 0 17 0 4 0 6 0 0 0 10 0 0.0043573 0 0.0087146 0 0.0047534 0 0.0071301 0 -0.7801219 0 2.1562846 0 0.046841 0 0.040305 0 0.7789474 0 NaN 459
Contig123106 2 0 1 0 0 0 1 0 0 0 -9 0 0 0 0.0175439 0 0 0 0.0143541 0 0 0 1.6329906 0 0.0394737 0 0.0307018 0 0.6666667 0 NaN 38
Contig123730 11 0 1 0 3 0 7 0 0 0 -9 0 0.018315 0 0.0494506 0 0.017982 0 0.041958 0 0.1676562 0 1.7514337 0 0.0576923 0 0.0238095 0 0.2865013 0 NaN 91
Contig124255 5 0 0 0 0 0 5 0 0 0 -9 0 0 0 0.0833333 0 0 0 0.0909091 0 0 0 -0.7968428 0 0.0583333 0 0.0166667 0 0.1860464 0 NaN 30
Contig124833 27 0 3 0 4 0 19 0 1 0 -9 0 0.0114155 0 0.0517504 0 0.0124533 0 0.0498132 0 -0.7968428 0 0.3986713 0 0.0570776 0 0.0254947 0 0.3156655 0 NaN 219
Contig125560 7 0 4 0 2 0 1 0 0 0 -9 0 0.0175439 0 0.0116959 0 0.0191388 0 0.0095694 0 -0.7098949 0 1.6329906 0 0.0877193 0 0.0730994 0 0.7407407 0 NaN 57
Contig126981 2 0 2 0 0 0 0 0 0 0 -9 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0909091 0 0.0909091 0 1 0 NaN 22
Contig131027 18 0 10 0 7 0 1 0 0 0 8 0 0.011254 0 0.0016077 0 0.0122771 0 0.0017539 0 -0.8173354 0 -0.6123711 0 0.0482315 0 0.0418006 0 0.7878788 0 NaN 311
Contig131439 27 0 0 0 12 0 12 0 3 0 -9 0 0.0336323 0 0.0366218 0 0.0366898 0 0.0366898 0 -0.8472925 0 -0.0188281 0 0.0442825 0 0.0091555 0 0.1296296 0 NaN 223
Contig131995 17 0 3 0 5 0 9 0 0 0 -9 0 0.0215054 0 0.0389785 0 0.0219941 0 0.0395894 0 -0.212491 0 -0.153597 0 0.078629 0 0.0483871 0 0.4776119 0 NaN 124
Contig13445 17 0 4 0 7 0 6 0 0 0 -9 0 0.0269231 0 0.0230769 0 0.0293706 0 0.0251748 0 -0.8173354 0 -0.8086064 0 0.0711538 0 0.0461539 0 0.513369 0 NaN 130
Contig135459 7 0 3 0 1 0 3 0 0 0 -9 0 0.0019084 0 0.0057252 0 0.0020819 0 0.0062457 0 -0.6123711 0 -0.7544506 0 0.0171756 0 0.0133588 0 0.6666667 0 NaN 262
Contig137291 5 0 1 0 2 0 2 0 0 0 -9 0 0.0224359 0 0.0192308 0 0.020979 0 0.020979 0 0.59158 0 -0.7098949 0 0.0432692 0 0.0224359 0 0.3809524 0 NaN 52
