dataset bialsites_avg bialsites_std sf_avg sf_std sxA_avg sxA_std sxB_avg sxB_std ss_avg ss_std Wald_avg Wald_std piA_avg piA_std piB_avg piB_std thetaA_avg thetaA_std thetaB_avg thetaB_std DtajA_avg DtajA_std DtajB_avg DtajB_std divAB_avg divAB_std netdivAB_avg netdivAB_std FST_avg FST_std corr_pi Ltot
0 57 0 0 0 20 0 27 0 10 0 -9 0 0.0256061 0 0.0298293 0 0.0311517 0 0.0427322 0 -0.5923158 0 -1.0947018 0 0.0429709 0 0.0152532 0 0.1989778 0 NaN 215
10 3 0 0 0 0 0 3 0 0 0 -9 0 0 0 0.0072115 0 0 0 0.028651 0 0 0 -1.7295419 0 0.0036058 0 0 0 -0.28125 0 NaN 26
11 3 0 0 0 2 0 0 0 1 0 -9 0 0.0075954 0 0.0085004 0 0.0182699 0 0.006711 0 -1.2186899 0 0.4070753 0 0.0083756 0 0.0003277 0 0.0084719 0 NaN 37
12 20 0 0 0 7 0 6 0 7 0 -9 0 0.0374357 0 0.0425359 0 0.0339734 0 0.0350871 0 0.3092422 0 0.6917722 0 0.0608831 0 0.0208973 0 0.192108 0 NaN 92
13 35 0 0 0 16 0 15 0 4 0 -9 0 0.0215255 0 0.0175589 0 0.0316672 0 0.03346 0 -1.0213372 0 -1.6265007 0 0.0247606 0 0.0052184 0 0.1311372 0 NaN 141
14 22 0 0 0 9 0 13 0 0 0 -9 0 0.0168547 0 0.0209601 0 0.0168847 0 0.0275753 0 -0.0049738 0 -0.792206 0 0.0348459 0 0.0159385 0 0.2716709 0 NaN 119
16 35 0 0 0 15 0 19 0 1 0 -9 0 0.0091529 0 0.01594 0 0.0162524 0 0.0221704 0 -1.3713536 0 -0.9672452 0 0.0212357 0 0.0086892 0 0.2253657 0 NaN 224
1 48 0 0 0 14 0 26 0 8 0 -9 0 0.0226138 0 0.0207526 0 0.0236134 0 0.0405889 0 -0.13652 0 -1.7618319 0 0.026863 0 0.0051798 0 0.1107254 0 NaN 208
2 62 0 0 0 15 0 29 0 18 0 -9 0 0.0368544 0 0.0497382 0 0.0385727 0 0.0611021 0 -0.1494256 0 -0.6837128 0 0.049267 0 0.0059707 0 0.0326753 0 NaN 191
3 50 0 0 0 16 0 21 0 13 0 -9 0 0.0207175 0 0.0258489 0 0.0340756 0 0.0444342 0 -1.3003603 0 -1.5078634 0 0.0251118 0 0.0018286 0 0.0134657 0 NaN 190
4 54 0 1 0 14 0 39 0 0 0 -9 0 0.0046619 0 0.0148999 0 0.0075315 0 0.023335 0 -1.1561468 0 -1.3148834 0 0.0251235 0 0.0153426 0 0.3905599 0 NaN 415
5 23 0 0 0 7 0 13 0 3 0 -9 0 0.009518 0 0.0293197 0 0.0237504 0 0.0422653 0 -1.7134826 0 -1.0270051 0 0.0224734 0 0.0030546 0 -0.0374906 0 NaN 94
6 20 0 0 0 8 0 9 0 3 0 -9 0 0.0096116 0 0.0356833 0 0.0264064 0 0.0320398 0 -1.8519189 0 0.36606 0 0.0312097 0 0.0085622 0 0.0528459 0 NaN 93
7 21 0 0 0 7 0 6 0 8 0 -9 0 0.0290523 0 0.0380303 0 0.0458741 0 0.0476208 0 -1.1246052 0 -0.663306 0 0.0471062 0 0.0135649 0 0.141974 0 NaN 73
8 5 0 0 0 3 0 2 0 0 0 -9 0 0.0046041 0 0.0075403 0 0.0133952 0 0.0099323 0 -1.3560436 0 -0.4839441 0 0.006775 0 0.0007028 0 0.0026814 0 NaN 50
9 6 0 0 0 3 0 1 0 2 0 -9 0 0.0318631 0 0.0212669 0 0.0360087 0 0.0240299 0 -0.279002 0 -0.2657543 0 0.0310081 0 0.0044431 0 0.1106041 0 NaN 31
