dataset bialsites_avg bialsites_std sf_avg sf_std sxA_avg sxA_std sxB_avg sxB_std ss_avg ss_std Wald_avg Wald_std piA_avg piA_std piB_avg piB_std thetaA_avg thetaA_std thetaB_avg thetaB_std DtajA_avg DtajA_std DtajB_avg DtajB_std divAB_avg divAB_std netdivAB_avg netdivAB_std FST_avg FST_std corr_pi Lsyno
Contig10033 115 0 78 0 5 0 32 0 0 0 45 0 0.0144144 0 0.0945946 0 0.014742 0 0.0943489 0 -0.212491 0 0.0269498 0 0.5013514 0 0.4468468 0 0.8240914 0 NaN 185
Contig10068 136 0 95 0 12 0 28 0 1 0 63 0 0.0374532 0 0.0842697 0 0.0398366 0 0.0888662 0 -0.6052782 0 -0.534398 0 0.6439607 0 0.5830992 0 0.8455533 0 NaN 178
Contig100801 11 0 7 0 0 0 4 0 0 0 -9 0 0 0 0.1140351 0 0 0 0.1148325 0 0 0 -0.0650096 0 0.4605263 0 0.4035088 0 0.8017429 0 NaN 19
Contig101488 57 0 41 0 3 0 13 0 0 0 26 0 0.0208333 0 0.0833333 0 0.0204545 0 0.0886364 0 0.1676562 0 -0.6052782 0 0.575 0 0.5229167 0 0.8515691 0 NaN 80
Contig1019 229 0 143 0 21 0 60 0 5 0 91 0 0.0269231 0 0.0679487 0 0.0272727 0 0.0681818 0 -0.1321917 0 -0.0356673 0 0.3387019 0 0.291266 0 0.7782059 0 NaN 520
Contig10294 24 0 19 0 1 0 4 0 0 0 11 0 0.0102041 0 0.0442177 0 0.0111317 0 0.0445269 0 -0.6123711 0 -0.0650096 0 0.4387755 0 0.4115646 0 0.8962963 0 NaN 49
Contig10396 26 0 19 0 0 0 7 0 0 0 8 0 0 0 0.0730994 0 0 0 0.0669856 0 0 0 0.8951769 0 0.381579 0 0.3450292 0 0.8436103 0 NaN 57
Contig1042 67 0 55 0 4 0 8 0 0 0 23 0 0.0176152 0 0.0352304 0 0.0177384 0 0.0354767 0 -0.0650096 0 -0.068672 0 0.4857724 0 0.4593496 0 0.9085427 0 NaN 123
Contig1053 31 0 23 0 0 0 8 0 0 0 12 0 0 0 0.0740741 0 0 0 0.0692641 0 0 0 0.6867258 0 0.4206349 0 0.3835979 0 0.8554572 0 NaN 63
Contig1057 24 0 14 0 0 0 10 0 0 0 12 0 0 0 0.1441441 0 0 0 0.1474202 0 0 0 -0.2223426 0 0.4864865 0 0.4144144 0 0.7666667 0 NaN 37
Contig10742 61 0 41 0 2 0 18 0 0 0 29 0 0.0141844 0 0.1010638 0 0.0116054 0 0.1044487 0 1.8930532 0 -0.3313105 0 0.518617 0 0.4609929 0 0.8205128 0 NaN 94
Contig1105 92 0 56 0 14 0 21 0 1 0 45 0 0.0555556 0 0.0874704 0 0.0580271 0 0.0851064 0 -0.4330601 0 0.285412 0 0.5079787 0 0.4364657 0 0.7771639 0 NaN 141
Contig1112 17 0 15 0 0 0 2 0 0 0 -9 0 0 0 0.037037 0 0 0 0.040404 0 0 0 -0.7098949 0 0.5925926 0 0.5740741 0 0.9465649 0 NaN 27
Contig11313 250 0 185 0 14 0 51 0 0 0 93 0 0.0163326 0 0.05902 0 0.0170075 0 0.0619559 0 -0.4025342 0 -0.4932994 0 0.464922 0 0.4272457 0 0.8663092 0 NaN 449
Contig11363 84 0 59 0 3 0 20 0 2 0 43 0 0.0143678 0 0.0680077 0 0.015674 0 0.0689655 0 -0.7968428 0 -0.1427061 0 0.4022988 0 0.3611111 0 0.8336097 0 NaN 174
Contig11393 139 0 95 0 7 0 37 0 0 0 63 0 0.0125272 0 0.0648148 0 0.0124777 0 0.0659537 0 0.0389214 0 -0.1790773 0 0.3660131 0 0.3273421 0 0.8286797 0 NaN 306
Contig11566 21 0 11 0 0 0 10 0 0 0 12 0 0 0 0.2222222 0 0 0 0.2272727 0 0 0 -0.2223426 0 0.625 0 0.5138889 0 0.7254902 0 NaN 24
Contig11719 24 0 19 0 0 0 5 0 0 0 11 0 0 0 0.0683761 0 0 0 0.0699301 0 0 0 -0.212491 0 0.5384616 0 0.5042735 0 0.8939394 0 NaN 39
Contig11804 13 0 11 0 0 0 2 0 0 0 -9 0 0 0 0.0416667 0 0 0 0.038961 0 0 0 0.59158 0 0.4196429 0 0.3988095 0 0.9162393 0 NaN 28
Contig1191 61 0 47 0 0 0 14 0 0 0 19 0 0 0 0.0787546 0 0 0 0.0839161 0 0 0 -0.623928 0 0.5906593 0 0.551282 0 0.8888889 0 NaN 91
Contig12024 149 0 102 0 8 0 38 0 1 0 53 0 0.0246305 0 0.0985222 0 0.0241827 0 0.1047918 0 0.1843172 0 -0.6209188 0 0.5948276 0 0.5332512 0 0.8318924 0 NaN 203
Contig1205 134 0 88 0 12 0 33 0 1 0 51 0 0.0319315 0 0.0880062 0 0.0331351 0 0.086661 0 -0.367491 0 0.1607901 0 0.4988318 0 0.4388629 0 0.8070176 0 NaN 214
Contig12102 42 0 32 0 1 0 8 0 1 0 15 0 0.019774 0 0.0847458 0 0.01849 0 0.0832049 0 0.5915791 0 0.1843172 0 0.6144068 0 0.5621469 0 0.8600757 0 NaN 59
Contig1211 332 0 249 0 15 0 67 0 1 0 122 0 0.0221607 0 0.101108 0 0.0241753 0 0.1027449 0 -0.8490267 0 -0.1662696 0 0.7946676 0 0.7330332 0 0.8717315 0 NaN 361
Contig12211 52 0 30 0 1 0 21 0 0 0 32 0 0.0075758 0 0.1268939 0 0.0061983 0 0.1301653 0 1.6329906 0 -0.2579511 0 0.4346591 0 0.3674242 0 0.7574427 0 NaN 88
Contig12213 99 0 77 0 4 0 18 0 0 0 42 0 0.0125 0 0.059375 0 0.0136364 0 0.0613636 0 -0.7801219 0 -0.3313105 0 0.5359375 0 0.5 0 0.888272 0 NaN 160
Contig12236 147 0 95 0 9 0 43 0 0 0 69 0 0.016496 0 0.0802048 0 0.0167546 0 0.0800496 0 -0.153597 0 0.0201376 0 0.3924915 0 0.3441411 0 0.8026534 0 NaN 293
Contig12269 85 0 48 0 8 0 28 0 1 0 43 0 0.0293501 0 0.0974843 0 0.0308748 0 0.0994854 0 -0.4915121 0 -0.2078207 0 0.4033019 0 0.3398847 0 0.7538506 0 NaN 159
Contig12313 97 0 78 0 2 0 17 0 0 0 31 0 0.0060976 0 0.0569106 0 0.0066519 0 0.056541 0 -0.7098954 0 0.066712 0 0.5182927 0 0.4867886 0 0.8982654 0 NaN 164
Contig12700 41 0 36 0 4 0 1 0 0 0 11 0 0.0294118 0 0.0073529 0 0.0320856 0 0.0080214 0 -0.7801219 0 -0.6123711 0 0.5698529 0 0.5514706 0 0.9448819 0 NaN 68
Contig12780 42 0 31 0 1 0 10 0 0 0 9 0 0.0051546 0 0.0584192 0 0.0056232 0 0.0562324 0 -0.6123716 0 0.3891004 0 0.3685567 0 0.3367698 0 0.8582376 0 NaN 97
Contig1280 52 0 36 0 7 0 9 0 0 0 23 0 0.0355987 0 0.0485437 0 0.0370697 0 0.0476611 0 -0.389207 0 0.1843172 0 0.4126213 0 0.3705502 0 0.8342441 0 NaN 103
Contig1282 41 0 29 0 3 0 9 0 0 0 15 0 0.0163043 0 0.0525362 0 0.0177866 0 0.0533597 0 -0.7544498 0 -0.153597 0 0.3804348 0 0.3460145 0 0.851728 0 NaN 92
Contig12883 195 0 152 0 2 0 40 0 1 0 67 0 0.003937 0 0.0625547 0 0.0042949 0 0.0586972 0 -0.7544498 0 0.6824728 0 0.453084 0 0.4198382 0 0.8782887 0 NaN 381
Contig1290 116 0 87 0 4 0 24 0 1 0 48 0 0.017094 0 0.0811966 0 0.013986 0 0.0699301 0 2.1249154 0 1.6599263 0 0.524359 0 0.4752137 0 0.8467543 0 NaN 195
Contig12913 21 0 10 0 2 0 9 0 0 0 14 0 0.0248227 0 0.0992908 0 0.0232108 0 0.1044487 0 0.5915791 0 -0.4915121 0 0.2925532 0 0.2304965 0 0.6797385 0 NaN 47
Contig1298 66 0 43 0 2 0 21 0 0 0 39 0 0.0074627 0 0.0957711 0 0.0081411 0 0.0854817 0 -0.7098949 0 1.2354485 0 0.4048508 0 0.3532338 0 0.7963547 0 NaN 134
Contig1300 23 0 16 0 0 0 7 0 0 0 8 0 0 0 0.0714286 0 0 0 0.0779221 0 0 0 -0.8173348 0 0.3826531 0 0.3469388 0 0.847352 0 NaN 49
Contig1306 16 0 8 0 0 0 8 0 0 0 10 0 0 0 0.1397849 0 0 0 0.1407625 0 0 0 -0.068672 0 0.3548387 0 0.2849462 0 0.69967 0 NaN 31
Contig1309 39 0 19 0 0 0 20 0 0 0 12 0 0 0 0.21 0 0 0 0.2181818 0 0 0 -0.3844329 0 0.565 0 0.46 0 0.7145631 0 NaN 50
